Sample ID,User ID,Date ,Time ,ng/ul ,A260 ,A280 ,260/280 ,260/230 ,Constant ,Cursor Pos.,Cursor abs.,340 raw,welcher drop,,Legende
2,Default,4/13/2018,11:22,42.77,0.855,0.461,1.85,1.09,50,230,0.781,0.023,nanodrop_1,,
12,Default,4/13/2018,11:23,25.5,0.51,0.28,1.82,1.18,50,230,0.431,0.005,nanodrop_1,,
242,Default,4/13/2018,11:24,58.68,1.174,0.646,1.82,1.75,50,230,0.672,0.051,nanodrop_1,,
237,Default,4/13/2018,11:25,25.28,0.506,0.288,1.75,1.04,50,230,0.488,0.002,nanodrop_1,,
246,Default,4/13/2018,11:25,65.75,1.315,0.709,1.85,0.68,50,230,1.943,-0.009,nanodrop_1,,
213,Default,4/13/2018,11:26,44.48,0.89,0.482,1.84,0.34,50,230,2.644,0.045,nanodrop_1,,
55,Default,4/13/2018,11:26,43.57,0.871,0.463,1.88,1.75,50,230,0.499,0.024,nanodrop_1,,
37,Default,4/13/2018,11:27,43.85,0.877,0.496,1.77,1.37,50,230,0.639,0.04,nanodrop_1,,
3,Default,4/13/2018,11:28,39.86,0.797,0.46,1.73,0.09,50,230,9.205,1.371,nanodrop_1,,
13,Default,4/13/2018,11:29,17.5,0.35,0.203,1.72,0.63,50,230,0.557,0.037,nanodrop_1,,
478,Default,4/13/2018,11:29,48.12,0.962,0.502,1.92,1.62,50,230,0.596,-0.006,nanodrop_1,,
197,Default,4/13/2018,11:30,104.73,2.095,1.104,1.9,0.79,50,230,2.644,-0.009,nanodrop_1,,
236,Default,4/13/2018,11:30,135.83,2.717,1.36,2,0.43,50,230,6.375,-0.009,nanodrop_1,,
244,Default,4/13/2018,11:31,196.79,3.936,2.109,1.87,1.04,50,230,3.797,0.093,nanodrop_1,,
41,Default,4/13/2018,11:32,30.41,0.608,0.333,1.83,0.65,50,230,0.93,-0.018,nanodrop_1,,
29,Default,4/13/2018,11:33,170.32,3.406,1.83,1.86,1.79,50,230,1.901,0.03,nanodrop_1,,
20,Default,4/13/2018,11:33,23.73,0.475,0.278,1.71,0.5,50,230,0.946,0.004,nanodrop_1,,
9,Default,4/13/2018,11:34,63.91,1.278,0.713,1.79,1.03,50,230,1.245,0.103,nanodrop_1,,
419,Default,4/13/2018,11:35,78.72,1.574,0.871,1.81,0.68,50,230,2.315,0.012,nanodrop_1,,
424,Default,4/13/2018,11:35,121.9,2.438,1.295,1.88,1.81,50,230,1.346,-0.006,nanodrop_1,,
435,Default,4/13/2018,11:36,79.04,1.581,0.929,1.7,0.93,50,230,1.703,0.199,nanodrop_1,,
239,Default,4/13/2018,11:37,39.65,0.793,0.436,1.82,1.57,50,230,0.504,-0.002,nanodrop_1,,
58,Default,4/13/2018,11:37,14.7,0.294,0.151,1.95,0.74,50,230,0.396,0.031,nanodrop_1,,
27,Default,4/13/2018,11:38,113.1,2.262,1.228,1.84,1.01,50,230,2.237,0.018,nanodrop_1,,
23,Default,4/13/2018,11:39,44,0.88,0.506,1.74,1.01,50,230,0.868,0.012,nanodrop_1,,
11,Default,4/13/2018,11:39,20.27,0.405,0.204,1.99,1.11,50,230,0.364,0.035,nanodrop_1,,
451,Default,4/13/2018,11:40,256.87,5.137,2.725,1.89,2.08,50,230,2.475,0.017,nanodrop_1,,
447,Default,4/13/2018,11:41,46.54,0.931,0.571,1.63,0.31,50,230,2.971,0.044,nanodrop_1,,
445,Default,4/13/2018,11:41,80.39,1.608,0.851,1.89,0.62,50,230,2.587,0.003,nanodrop_1,,
229,Default,4/13/2018,11:42,200.42,4.008,2.132,1.88,2.2,50,230,1.821,0.028,nanodrop_1,,
38,Default,4/13/2018,11:42,41.52,0.83,0.481,1.73,0.77,50,230,1.083,0.027,nanodrop_1,,
52,Default,4/13/2018,11:43,24.74,0.495,0.264,1.87,0.84,50,230,0.592,-0.003,nanodrop_1,,
30,Default,4/13/2018,11:44,77.49,1.55,0.845,1.83,1.45,50,230,1.067,0.026,nanodrop_1,,
5,Default,4/13/2018,11:44,26.91,0.538,0.377,1.43,0.17,50,230,3.203,0.149,nanodrop_1,,
441,Default,4/13/2018,11:45,62.3,1.246,0.684,1.82,1.29,50,230,0.964,0.008,nanodrop_1,,
300,Default,4/13/2018,11:45,98.97,1.979,1.099,1.8,0.55,50,230,3.584,0.111,nanodrop_1,,
285,Default,4/13/2018,11:46,193.74,3.875,2.059,1.88,1.4,50,230,2.774,0.014,nanodrop_1,,
4,Default,4/13/2018,11:47,11.68,0.234,0.165,1.41,0.23,50,230,1.005,0.052,nanodrop_1,,
56,Default,4/13/2018,11:47,27.68,0.554,0.317,1.75,1.31,50,230,0.422,-0.012,nanodrop_1,,
