IZW ID,LLBB ID,date_found,location_lat,location_long,location_qual,area,condition,sex (m/f),age (j/a), weight (kg) ,instestil,muscle,hair,vibrisses,anthropogenic food,food comment,origin,date_dissect,species,location comment
391,17-51218-UTF 1428,03/07/2017,52.554659 ,13.398203,1,Berlin,excellent,male,adult, 4.60    ,yes,yes,yes,yes,yes,"beige-brownish, pieces with sausage",BA Pankow   R03,20/07/2017 09:22,Rotfuchs,"Fundort: Brücke Bornholmer Straße, 13359 Berlin"
392,17-51218-UTF 1434,21/07/2017,52.517597 ,13.361013,3,Berlin,excellent,male,adult, 5.20    ,yes,yes,yes,yes,no,"mixed, herbal matter",BA Mitte  R01,21/07/2017 10:02,Rotfuchs,"Fundort: John- Foster- Dulles- Allee, 10557 Berlin/ TiergartenPolizei A 34Vorgangsnummer: 170721-0020-310089"
393,17-51218-UTF 1463,23/07/2017,52.52318,13.470215,1,Berlin,excellent,female,juvenil, 3.60    ,yes,yes,yes,yes,no,empty,BA Lichtenberg   R11,25/07/2017 10:03,Rotfuchs,"Fundort: Storkower Straße/ Rudolf- Seiffert- Straße, 10369 Berlin- LichtenbergPolizei A 64Vorgangsnummer: 170722-2350-019783"
394,17-51218-UTF 1472,25/07/2017,52.450755,13.405831,1,Berlin,excellent,male,juvenil, 4.60    ,yes,yes,yes,yes,yes,noodles,BA Tempelhof-Schöneberg   R07,26/07/2017 10:07,Rotfuchs,"Fundort: Rixdorfer Straße 42, 12109 Berlin/ MariendorfPolizei A 44Vorgangsnummer: 170725-1900-036381"
395,17-51218-UTF 1509,01/08/2017,52.456777,13.411899,1,Berlin,excellent,male,juvenil, 3.80    ,yes,yes,yes,yes,no,mirabelles,BA Tempelhof-Schöneberg   R07,01/08/2017 10:35,Rotfuchs,"Fundort: Gottlieb- Dunkel- Straße 46, 12099 BerlinPolizei A 44Vorgangsnummer: 170801-0900-034562"
396,17-51218-UTF 1518,02/08/2017,52.543921,13.407451,3,Berlin,excellent,female,juvenil, 3.40    ,yes,yes,yes,yes,no,empty,BA Pankow   R03,02/08/2017 08:34,Rotfuchs,"Fundort: Friedrich- Ludwig- Jahn Sportpark, Cantianstraße 15, 10437 BerlinPolizei A 15Vorgangsnummer: 170802-0700-028064"
397,17-51218-UTF 1519,02/08/2017,52.514184 ,13.359118,4,Berlin,excellent,male,adult, 5.30    ,yes,yes,yes,yes,no,empty,BA Mitte  R01,02/08/2017 08:34,Rotfuchs,"Erlegungsort: Tiergarten, Bundesministerium für Inneres, Alt Moabit 140, 10557 BerlinWidmarkennummer: 2594804Der Stadtjäger, Herr Michael Weiß, wurde durch die Bundespolizei beauftragt."
398,17-51218-UTF 1534,04/08/2017,52.582768 ,13.528733,1,Berlin,autolytic,female,juvenil, 2.00    ,yes,yes,yes,yes,no,empty,BA Lichtenberg   R11,07/08/2017 09:11,Rotfuchs,"Fundort: Birkholzer Weg, kindertagesstättePolizei A 61Vorgangsnummer: 170804-1900-262023"
399,17-51218-UTF 1535,07/08/2017,52.456798,13.274298,1,Berlin,excellent,female,adult, 5.60    ,yes,yes,yes,yes,no,bird pieces,BA Steglitz-Zehlendorf   R06,07/08/2017 09:15,Rotfuchs,"Fundort: Clayallee 128, 14195 Berlin/ DahlemPolizei A 43Vorgangsnummer: 170807-0220-021506"
400,17-51218-UTF 1582,08/08/2017,52.481018,13.591205,1,Berlin,excellent,female,juvenil, 3.20    ,yes,yes,yes,yes,no,empty,BA Marzahn-Hellersdorf   R10,09/08/2017 08:55,Rotfuchs,"Fundort: Klopstockstraße 15, 12623 Berlin/ MahlsdorfPolizei A 63Vorgangsnummer: 170808-1905-268959"
