"Variable","Coefficient","CI_low","Q_25","Q_50","Q_75","CI_high","Species"
"human_fpi_1000m",0.0668144449466845,0.0394750515547035,0.0571668759122992,0.0666719685780184,0.0762001014168893,0.0953772703002813,"Angiostrongylus"
"tree_cover_1000m",0.0205244290362892,0.00508234084707242,0.0151092130126367,0.0204419289276222,0.0258873134652054,0.0363317410243089,"Angiostrongylus"
"Diet_Species_richness",0.0116831397514367,-0.0617048010491157,-0.0143831315392221,0.0112598468885366,0.0372845594417509,0.0873151414145034,"Angiostrongylus"
"BacM_Species_richness",0.0167581795330542,-0.0102498392966382,0.00727413997901387,0.0166218975070535,0.0261440659197238,0.0446044460490826,"Angiostrongylus"
"FunM_Species_richness",0.001854310783279,-0.0200391187379375,-0.00566611011381764,0.00182595458899049,0.00932924871916694,0.0237722123209221,"Angiostrongylus"
"(Intercept)",3.13698933202044,1.23070696432755,2.45913037622211,3.1130935374583,3.79239613511907,5.16213250769215,"Uncinaria"
"sex[male]",0.331541150164042,-0.17897880386004,0.152378819224111,0.329932790438939,0.507536870289581,0.854708651525153,"Uncinaria"
"weight_kg",-0.375354037913832,-0.593769131386281,-0.446188486733551,-0.373741902224579,-0.301909308238981,-0.167911416241902,"Uncinaria"
"season[spring]",0.387282586519202,-0.278756345852897,0.156240226646527,0.385907575352133,0.614877342964185,1.06102211006343,"Uncinaria"
"season[winter]",0.0070910293109863,-0.525282246037376,-0.17191716502213,0.00887478909585453,0.189268529753175,0.527664454948036,"Uncinaria"
"human_fpi_1000m",-0.0155641899047006,-0.0429964743306759,-0.0247354787498444,-0.0154075228115817,-0.00623184216317386,0.0112696482793883,"Uncinaria"
"tree_cover_1000m",-0.00247280426929474,-0.0171153481848219,-0.00748717298967845,-0.00247728317752116,0.00254274221213945,0.012195983745019,"Uncinaria"
"Diet_Species_richness",-0.158479650822422,-0.245448703899495,-0.18591266295419,-0.157318753824186,-0.129538054299788,-0.0794475379095523,"Uncinaria"
"BacM_Species_richness",-0.00789416660692107,-0.0349785247888874,-0.0171848473923302,-0.00786476996571875,0.00147065178902109,0.0191007970963195,"Uncinaria"
"FunM_Species_richness",0.0158527381728904,-0.00532967466314565,0.0085026705269708,0.0157672847919212,0.0231017235236755,0.0376183929078793,"Uncinaria"
"(Intercept)",0.954291569748493,-0.920803061454291,0.303683179622721,0.95332605838289,1.59719890170724,2.8511960867845,"Crenosoma"
"sex[male]",0.616284288820331,0.136652658206307,0.446072280610223,0.611191480103678,0.783536961683862,1.11711972443116,"Crenosoma"
"weight_kg",-0.428101201701112,-0.645514337458972,-0.500807400637759,-0.426673762941819,-0.354124361092305,-0.217851013046468,"Crenosoma"
"season[spring]",-0.00191436004701022,-0.629392924469964,-0.217419868250065,-0.000594782141512207,0.21295231920192,0.6303286610126,"Crenosoma"
"season[winter]",0.178598046802691,-0.308036368282908,0.00886925562983982,0.176117984849504,0.345926942362081,0.675801969735035,"Crenosoma"
"human_fpi_1000m",0.0184519876069916,-0.00853967394545081,0.00918952251818192,0.0183880405822466,0.027560714669804,0.0459592086971084,"Crenosoma"
"tree_cover_1000m",0.0098656013407779,-0.0043681802920404,0.0049592470369223,0.00983160278807142,0.0147037947887524,0.024229789607951,"Crenosoma"
"Diet_Species_richness",-0.0190134766918167,-0.0910680536881554,-0.043528195863974,-0.0187274343185554,0.00557481078404995,0.0520988569688804,"Crenosoma"
"BacM_Species_richness",-0.028885838239759,-0.0553606810301155,-0.0378276448097032,-0.0288430856863423,-0.0198870432277481,-0.00288877327213627,"Crenosoma"
"FunM_Species_richness",0.0113608722517015,-0.00832150209469722,0.00451348556926609,0.0113552728367903,0.0181428194827678,0.0311965303135634,"Crenosoma"
"(Intercept)",1.32804319909793,-1.49187933143276,0.308140006497381,1.2428750352959,2.25489125320982,4.6124504093673,"Capillaria"
"sex[male]",0.406466840078456,-0.294558558832612,0.17316110651477,0.405744859779322,0.637017416245371,1.11789700520705,"Capillaria"
"weight_kg",-0.375279807924269,-0.751996043323079,-0.477778085085691,-0.362592592563843,-0.258632764567029,-0.0693660489196006,"Capillaria"
"season[spring]",0.783296078075409,-0.101162837426524,0.480350885639276,0.778370312936231,1.07894973769045,1.7121098800969,"Capillaria"
"season[winter]",1.32662842741913,0.603654382482974,1.06493662944162,1.31322327861582,1.57138539960735,2.13441364923664,"Capillaria"
"human_fpi_1000m",-0.00846826214556515,-0.0518644649771348,-0.0211976739273976,-0.00788980640935377,0.00507427686164314,0.0308722213080222,"Capillaria"
"tree_cover_1000m",-0.0143020616581566,-0.0385110810709781,-0.0213320414480738,-0.0138787241987352,-0.00677295016453093,0.00709048838941265,"Capillaria"
"Diet_Species_richness",-0.0354028976097949,-0.152697038764224,-0.0701557663297433,-0.0332928878051063,0.0015211213481582,0.0721229991464255,"Capillaria"
"BacM_Species_richness",-0.0036911974887102,-0.0476291932715758,-0.0173113493673546,-0.00337725188558879,0.0101962670849443,0.038627306173354,"Capillaria"
"FunM_Species_richness",0.0151432800260273,-0.0158545905665902,0.00444715036291751,0.0146209525764691,0.0251333469050094,0.0495697818422302,"Capillaria"
"(Intercept)",-1.16727653787456,-3.7512570108279,-2.06064679808234,-1.17842228053475,-0.286578016562535,1.50533932102226,"Alaria"
